name,address,city,state,zip,lat,lng
Gunnison KOA Journey,105 County Road 50,Gunnison,Colorado,81230,38.395065,-106.953683
Glenwood Springs West / Colorado River KOA Holiday,629 River Frontage Road,Silt,Colorado,81652,39.485172,-107.654716
Grand Junction KOA Holiday,2819 Highway 50,Grand Junction,Colorado,81503,39.029808,-108.434076
Fort Collins North / Wellington KOA Journey,4821 E CR RD 70,Wellington,Colorado,80549,40.857579,-105.04415
Falcon / Colorado Springs NE KOA Holiday,14010 Judge Orr Road,Peyton,Colorado,80831,38.994216,-104.490669
Fort Collins / Lakeside KOA Holiday,1910 Lakeside Resort Lane,Fort Collins,Colorado,80524,40.646857,-105.029513
Estes Park KOA Holiday,2051 Big Thompson Ave.,Estes Park,Colorado,80517,40.384744,-105.586376
Denver West / Central City KOA Holiday,605 Lake Gulch Rd Co Rd 6,Central City-0771,Colorado,80427,39.780281,-105.49496
Denver East / Strasburg KOA Holiday,1312 Monroe Street,Strasburg,Colorado,80136,39.791978,-104.279929
Cripple Creek KOA Holiday,2576 County Road 81,Cripple Creek,Colorado,80813,38.805388,-105.1585
Craig KOA Journey,2800 E  Hwy 40,Craig,Colorado,81625,40.745223,-107.694794
Colorado Springs KOA Holiday,8100 Bandley Drive,Fountain,Colorado,80817,38.63858,-104.686472
Carbondale / Crystal River KOA Holiday,7202 Highway 133,Carbondale,Colorado,81623,39.24658,-107.162855
Alamosa / Great Sand Dunes KOA Journey,6900 Juniper Lane,Alamosa,Colorado,81101,37.481245,-105.833213
Fairbanks / Chena River KOA,1316 Badger Road,North Pole,Alaska,99705,64.761825,-147.313674
Homer / Baycrest KOA Holiday,3425 Sterling Highway(Mile 169),Homer,Alaska,99603,59.538519,-151.186927
Little Rock North / Jct. I-40 KOA Journey,7820 Kampground Way,North Little Rock,Arkansas,72118,34.840468,-92.326035
Harrison KOA Holiday,3629 Highway 65N,Harrison,Arkansas,72601,36.238028,-93.085992
Hot Springs National Park KOA Holiday,838 McClendon Road,Hot Springs,Arkansas,71901,34.526453,-92.974072
Pocatello KOA Journey,9815 W Pocatello Creek Road,Pocatello,Idaho,83201,42.904916,-112.380093
Eureka Springs KOA Journey,15020 Highway 187 South,Eureka Springs,Arkansas,72631,36.467606,-93.834419
Kamiah / Clearwater River KOA Journey,4243 Highway 12,Kamiah,Idaho,83536,46.223705,-116.001302
Lava Hot Springs West KOA Holiday,89 North Center Street,Lava Hot Springs,Idaho,83246,42.611071,-112.02462
Lava Hot Springs East KOA Holiday,100 Bristol Park Lane,Lava Hot Springs,Idaho,83246,42.611071,-112.02462
Montpelier Creek KOA Journey,28501 US Highway 89 North,Montpelier,Idaho,83254,42.328779,-111.271877
Boise / Meridian KOA Journey,184 Pennwood Street,Meridian,Idaho,83642,43.568006,-116.404411
Craters of the Moon / Arco KOA Journey,2424 North 3000 West,Arco,Idaho,83213,43.539315,-113.266776
Indianapolis KOA Holiday,5896 West 200 North,Greenfield,Indiana,46140,39.801973,-85.772071
Indiana Beach / Monticello KOA Holiday,2882 N.W. Shafer Drive,Monticello,Indiana,47960,40.779015,-86.751024
Bluffton / Fort Wayne South KOA Journey,1625 West Lancaster Street,Bluffton,Indiana,46714,40.722652,-85.176526
